City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,27.8,70,75,4.63,US,1724007002
1,blackmans bay,-43.0167,147.3167,3.07,91,35,0.89,AU,1724007159
2,iskateley,67.6803,53.1512,6.59,93,80,3.37,RU,1724007160
3,saposoa,-6.934,-76.7716,34.83,33,32,1.75,PE,1724007161
4,mossel bay,-34.1831,22.146,11.96,74,0,1.47,ZA,1724007163
5,mangaratiba,-22.9597,-44.0406,24.56,54,0,0.72,BR,1724007164
6,vanimo,-2.6741,141.3028,25.36,90,100,1.68,PG,1724007165
7,olonkinbyen,70.9221,-8.7187,5.91,91,100,3.76,SJ,1724007166
8,haslett,42.747,-84.4011,21.63,92,100,3.6,US,1724007000
9,kapuskasing,49.4169,-82.4331,20.0,45,75,7.2,CA,1724007169
10,grytviken,-54.2811,-36.5092,-1.65,70,99,5.4,GS,1724007170
11,puerto natales,-51.7236,-72.4875,7.25,61,75,8.23,CL,1724007171
12,belmonte,-15.8631,-38.8828,24.72,74,24,3.32,BR,1724007133
13,iquique,-20.2208,-70.1431,18.12,71,13,2.83,CL,1724007043
14,bandarbeyla,9.4942,50.8122,25.54,79,12,15.08,SO,1724007175
15,ushuaia,-54.8,-68.3,5.81,81,75,12.35,AR,1724006988
16,adamstown,-25.066,-130.1015,17.88,62,88,6.62,PN,1724007177
17,la passe,45.5549,-0.8967,18.36,67,0,5.95,FR,1724007178
18,port elizabeth,-33.918,25.5701,16.84,80,20,2.57,ZA,1724006892
19,anloga,5.7947,0.8973,24.65,84,5,6.32,GH,1724007181
20,edinburgh of the seven seas,-37.0676,-12.3116,9.78,65,52,11.19,SH,1724007182
21,qaqortoq,60.7167,-46.0333,6.13,73,1,2.08,GL,1724007183
22,alice springs,-23.7,133.8833,19.75,28,1,3.6,AU,1724007184
23,stanley,54.868,-1.6985,15.29,64,20,6.17,GB,1724007185
24,puerto ayora,-0.7393,-90.3518,20.86,87,53,4.02,EC,1724007187
25,longyearbyen,78.2186,15.6401,10.91,87,75,0.0,SJ,1724007188
26,tiksi,71.6872,128.8694,8.96,94,1,3.85,RU,1724007189
27,tilcara,-23.5776,-65.3509,19.48,15,0,0.37,AR,1724007190
28,bredasdorp,-34.5322,20.0403,10.22,90,9,1.95,ZA,1724007191
29,port mathurin,-19.6833,63.4167,22.54,71,41,12.29,MU,1724007193
30,the village,35.5609,-97.5514,39.86,39,0,3.6,US,1724007194
31,isafjordur,66.0755,-23.124,8.02,71,75,4.63,IS,1724007195
32,iqaluit,63.7506,-68.5145,13.85,62,75,6.69,CA,1724007197
33,makokou,0.5738,12.8642,22.2,89,100,1.49,GA,1724007199
34,newman,37.3138,-121.0208,26.14,29,0,0.57,US,1724007200
35,harper,4.375,-7.7169,24.29,79,7,3.53,LR,1724007201
36,klyuchi,52.2667,79.1667,16.53,68,82,3.5,RU,1724007202
37,vicuna,-30.0319,-70.7081,19.07,39,92,1.34,CL,1724007203
38,thompson,55.7435,-97.8558,17.09,67,75,4.12,CA,1724007205
39,haiku-pauwela,20.9219,-156.3051,27.9,74,40,8.23,US,1724007206
40,adrar,20.5022,-10.0711,31.91,51,98,5.36,MR,1724007207
41,arno,60.1167,18.6333,16.9,59,100,5.38,SE,1724007208
42,port lincoln,-34.7333,135.8667,13.07,84,100,8.54,AU,1724007209
43,port-aux-francais,-49.35,70.2167,2.56,79,11,12.11,TF,1724007210
44,albany,42.6001,-73.9662,24.14,80,100,4.0,US,1724007212
45,egilsstadir,65.2653,-14.3948,7.95,66,75,9.26,IS,1724007213
46,ballina,-28.8667,153.5667,13.04,90,34,4.63,AU,1724007214
47,talnakh,69.4865,88.3972,14.15,76,100,1.5,RU,1724007215
48,vilyuysk,63.7553,121.6247,11.26,54,24,2.13,RU,1724007216
49,luderitz,-26.6481,15.1594,16.17,58,0,6.72,NA,1724007218
50,wynyard,-41.0,145.7167,5.75,91,7,1.76,AU,1724007219
51,anna regina,7.2644,-58.5077,30.12,62,2,3.97,GY,1724007220
52,nema,57.5067,50.5011,12.3,98,65,1.98,RU,1724007221
53,punta arenas,-53.15,-70.9167,8.06,66,20,10.8,CL,1724006933
54,cheremukhovo,60.3484,59.9851,10.06,94,9,1.38,RU,1724007224
55,rio grande,-32.035,-52.0986,15.71,98,100,6.96,BR,1724006995
56,saldanha,-33.0117,17.9442,11.03,86,90,1.08,ZA,1724007226
57,bardsir,29.9227,56.5743,26.42,31,55,0.82,IR,1724007227
58,broome,42.2506,-75.833,27.06,75,75,5.14,US,1724007228
59,college,64.8569,-147.8028,20.05,76,75,4.63,US,1724007230
60,pangai,-19.8,-174.35,24.06,88,75,6.17,TO,1724007231
61,okap,19.7578,-72.2042,27.94,79,5,4.34,HT,1724007232
62,ad dabbah,18.05,30.95,37.39,32,100,5.46,SD,1724007233
63,holualoa,19.6228,-155.9522,25.86,84,20,3.09,US,1724007234
64,chonchi,-42.6128,-73.8092,8.32,60,36,3.62,CL,1724007236
65,margaret river,-33.95,115.0667,13.05,81,100,8.42,AU,1724007237
66,anadyr,64.75,177.4833,4.28,80,40,3.0,RU,1724007238
67,papatowai,-46.5619,169.4708,3.81,87,100,10.35,NZ,1724007239
68,waitangi,-43.9535,-176.5597,7.68,99,100,1.34,NZ,1724007242
69,lubang,13.8584,120.124,29.44,72,100,1.26,PH,1724007243
70,corral de bustos,-33.2821,-62.1846,18.35,52,100,3.25,AR,1724007245
71,sisimiut,66.9395,-53.6735,6.36,74,49,5.71,GL,1724007247
72,saint-pierre,-21.3393,55.4781,20.82,83,75,10.29,RE,1724007249
73,jackson,42.4165,-122.8345,21.89,62,20,0.89,US,1724007251
74,hasaki,35.7333,140.8333,26.05,94,6,1.65,JP,1724007252
75,wailua homesteads,22.0669,-159.378,25.97,78,100,7.72,US,1724007253
76,ilha de mocambique,-15.0342,40.7358,24.56,79,8,5.88,MZ,1724007254
77,san patricio,28.017,-97.5169,34.97,40,96,6.63,US,1724007255
78,kerikeri,-35.2268,173.9474,11.06,88,27,4.02,NZ,1724007257
79,cabo san lucas,22.8909,-109.9124,30.05,59,59,3.35,MX,1724007242
80,juan griego,11.0817,-63.9655,26.07,83,0,6.17,VE,1724007259
81,kurchatov,51.6601,35.6521,21.9,38,2,2.65,RU,1724007261
82,selfoss,63.9331,-20.9971,10.02,59,79,5.2,IS,1724007263
83,georgetown,5.4112,100.3354,26.96,100,20,2.57,MY,1724007264
84,mtwara,-10.2667,40.1833,24.13,80,1,7.62,TZ,1724007265
85,al ghayzah,16.2079,52.176,27.85,72,100,1.2,YE,1724007266
86,lihue,21.9789,-159.3672,26.31,79,100,7.72,US,1724007267
87,akureyri,65.6835,-18.0878,6.96,70,75,5.66,IS,1724007269
88,sompeta,18.9333,84.6,28.05,86,100,3.91,IN,1724007270
89,korla,41.7597,86.1469,31.61,19,7,6.23,CN,1724007271
90,gamay,12.3854,125.2979,24.83,90,99,1.26,PH,1724007272
91,vieste,41.8825,16.175,26.29,65,70,1.45,IT,1724007273
92,port douglas,-16.4833,145.4667,20.59,83,4,1.7,AU,1724007275
93,tofol,5.3248,163.0078,28.58,73,100,3.54,FM,1724007276
94,zhob,31.3411,69.4481,26.66,62,100,0.9,PK,1724007277
95,elliot lake,46.3834,-82.6331,18.63,77,100,3.96,CA,1724007278
96,machico,32.7,-16.7667,27.35,54,20,9.77,PT,1724007279
97,shiyan,32.6475,110.7781,22.57,93,0,1.78,CN,1724007281
98,west island,-12.1568,96.8225,25.99,78,20,4.63,CC,1724007282
99,hithadhoo,-0.6,73.0833,28.53,77,100,6.6,MV,1724007283
100,bilibino,68.0546,166.4372,4.18,98,100,1.92,RU,1724007284
101,whistler,50.1164,-122.9695,15.57,100,100,0.0,CA,1724007285
102,sinabang,2.4803,96.3801,24.74,93,100,2.5,ID,1724007288
103,nadym,65.5333,72.5167,13.08,95,100,1.56,RU,1724007289
104,vernon,50.2581,-119.2691,24.74,50,89,1.03,CA,1724007162
105,susuman,62.7833,148.1667,4.99,88,64,0.77,RU,1724007291
106,rustaq,23.3908,57.4244,30.24,77,100,3.05,OM,1724007293
107,tralee,52.2704,-9.7026,15.04,83,100,2.4,IE,1724007294
108,ribeira grande,38.5167,-28.7,26.54,78,40,2.57,PT,1724007295
109,igarape miri,-1.975,-48.9597,33.89,40,89,2.74,BR,1724007296
110,fort mcmurray,56.7268,-111.381,16.77,88,100,2.06,CA,1724007297
111,rongelap,11.1635,166.8941,28.36,79,100,6.51,MH,1724007298
112,vila franca do campo,37.7167,-25.4333,26.23,78,100,0.99,PT,1724007300
113,bethel,41.3712,-73.414,23.34,88,100,2.06,US,1724007301
114,whitehorse,60.7161,-135.0538,21.17,48,40,5.66,CA,1724007303
115,el fuerte,26.4189,-108.6194,32.83,59,78,1.08,MX,1724007306
116,ilulissat,69.2167,-51.1,6.01,70,75,2.57,GL,1724007307
117,arraial do cabo,-22.9661,-42.0278,27.98,65,0,6.69,BR,1724007308
118,sejny,54.108,23.347,22.33,65,100,3.35,PL,1724007310
119,veraval,20.9,70.3667,27.24,89,20,3.25,IN,1724007311
120,hermanus,-34.4187,19.2345,9.89,84,26,3.48,ZA,1724007313
121,puerto baquerizo moreno,-0.9,-89.6,22.55,68,75,8.23,EC,1724007314
122,ponta delgada,37.7333,-25.6667,26.4,69,40,2.57,PT,1724007316
123,mezhdurechenskiy,59.6,65.9333,11.48,96,70,1.62,RU,1724007317
124,richards bay,-28.783,32.0377,18.75,83,0,2.63,ZA,1724007318
125,vorgashor,67.5833,63.95,6.6,90,67,3.29,RU,1724007319
126,port alfred,-33.5906,26.891,16.28,76,26,1.04,ZA,1724007253
127,invercargill,-46.4,168.35,3.9,91,100,4.47,NZ,1724006866
128,labuan,5.2767,115.2417,25.2,100,20,0.0,MY,1724007323
129,enewetak,11.3474,162.3373,28.56,77,91,6.47,MH,1724007324
130,jamestown,42.097,-79.2353,24.8,77,40,6.17,US,1724007325
131,yellowknife,62.456,-114.3525,19.12,77,20,5.66,CA,1724007326
132,ust-nera,64.5667,143.2,10.24,60,100,0.86,RU,1724007327
133,coquimbo,-29.9533,-71.3436,16.66,69,75,4.63,CL,1724007173
134,boguchany,58.3814,97.4531,13.2,97,53,1.51,RU,1724007330
135,bam,29.106,58.357,35.23,21,19,4.61,IR,1724007331
136,porto novo,6.4965,2.6036,25.9,86,16,3.52,BJ,1724007332
137,charters towers,-20.1,146.2667,15.65,87,0,3.1,AU,1724007333
138,dampit,-8.2116,112.7493,18.39,96,61,2.03,ID,1724007335
139,inirida,3.8653,-67.9239,34.89,41,4,0.7,CO,1724007336
140,paimio,60.4567,22.6869,17.21,80,100,1.34,FI,1724007337
141,al jawf,29.5,38.75,32.2,20,0,2.81,SA,1724007338
142,tanumah,27.1,44.1333,36.77,12,55,1.33,SA,1724007339
143,aqaba,29.5267,35.0078,34.92,24,0,2.06,JO,1724007341
144,sitka,57.0531,-135.33,16.94,72,0,0.0,US,1724007342
145,simplicio mendes,-7.8539,-41.9103,33.95,19,82,4.17,BR,1724007343
146,lendinara,45.0843,11.5997,23.3,72,100,5.96,IT,1724007344
147,dingcheng,32.1272,115.0394,25.41,91,10,1.31,CN,1724007346
148,fort bragg,35.139,-79.006,32.04,57,40,5.14,US,1724007347
149,inari,68.906,27.0288,14.32,63,72,2.31,FI,1724007348
150,fisterra,42.9049,-9.2629,19.21,83,45,8.66,ES,1724007349
151,happy valley-goose bay,53.3168,-60.3315,21.17,78,100,5.14,CA,1724007350
152,kamin-kashyrskyi,51.6241,24.9586,22.96,56,19,2.73,UA,1724007352
153,aasiaat,68.7098,-52.8699,3.03,86,46,1.7,GL,1724007353
154,gaitania,3.0906,-75.6723,24.62,33,1,3.13,CO,1724007354
155,lagoa,39.05,-27.9833,24.62,75,2,3.81,PT,1724007355
156,barra de santo antonio,-9.4047,-35.5072,25.39,66,100,4.53,BR,1724007356
157,i-n-salah,27.1935,2.4607,39.88,17,78,1.89,DZ,1724007358
158,saipan,15.1355,145.701,28.39,89,75,4.63,MP,1724007295
159,floro,61.5996,5.0328,13.98,72,40,7.72,NO,1724007360
160,nikolayevsk-on-amure,53.1406,140.73,7.91,95,5,1.74,RU,1724007361
161,olyokminsk,60.3736,120.4264,11.1,83,52,1.39,RU,1724007362
162,ewo,-0.8725,14.8206,27.93,55,100,3.17,CG,1724007364
163,chimoio,-19.1164,33.4833,19.97,56,0,2.16,MZ,1724007365
